service_start,service_end,origin,destination,distance,total_fare,passengers,mode,record_id
2019-03-29 18:35:28,2019-03-29 18:54:37,Midtown South,SoHo,2.1,20.76,1,Taxi,472
2019-03-30 22:50:12,2019-03-30 22:52:22,Central Park,Central Park,0.58,10.14,5,Taxi,473
2019-03-31 13:36:49,2019-03-31 14:00:43,Midtown East,East Chelsea,2.46,22.56,2,Taxi,474
2019-03-17 18:57:44,2019-03-17 19:03:18,Yorkville West,Sutton Place/Turtle Bay North,1.6,12.36,1,Taxi,475
2019-03-18 11:33:18,2019-03-18 11:43:03,Murray Hill,Midtown Center,0.93,11.9,2,Taxi,476
2019-03-23 11:12:10,2019-03-23 11:21:10,Greenwich Village South,World Trade Center,1.77,11.3,4,Taxi,477
2019-03-13 07:55:53,2019-03-13 07:59:35,Upper East Side South,Midtown East,0.88,10.38,1,Taxi,478
2019-03-09 13:24:54,2019-03-09 13:28:50,Upper East Side South,Midtown East,0.57,9.36,1,Taxi,479
2019-03-17 03:42:53,2019-03-17 03:50:53,Union Sq,Financial District North,2.54,15.96,5,Taxi,480
2019-03-01 19:51:23,2019-03-01 20:00:07,Midtown East,Kips Bay,1.47,14.16,1,Taxi,481
2019-03-31 09:52:21,2019-03-31 09:57:46,Penn Station/Madison Sq West,Union Sq,1.19,11.16,6,Taxi,482
2019-03-29 18:32:29,2019-03-29 18:45:32,Murray Hill,Two Bridges/Seward Park,2.79,20.16,1,Taxi,483
2019-03-20 14:05:34,2019-03-20 14:12:28,Lenox Hill West,Upper East Side North,1.02,9.8,2,Taxi,484
2019-03-30 18:52:10,2019-03-30 19:04:46,Midtown South,Upper East Side North,3.48,19.56,2,Taxi,485
2019-03-30 15:08:38,2019-03-30 15:19:44,Lincoln Square East,Upper East Side South,1.73,13.8,1,Taxi,486
2019-03-06 22:04:19,2019-03-06 22:12:56,Battery Park City,TriBeCa/Civic Center,1.11,12.96,4,Taxi,487
2019-03-16 03:09:49,2019-03-16 03:17:49,West Village,East Village,1.6,12.3,1,Taxi,488
2019-03-25 09:07:29,2019-03-25 09:30:47,Midtown Center,Hudson Sq,2.92,24.12,1,Taxi,489
2019-03-08 16:26:52,2019-03-08 16:32:17,Midtown Center,Midtown South,0.6,12.25,1,Taxi,490
2019-03-16 00:01:32,2019-03-16 00:27:06,Lincoln Square East,Steinway,5.24,28.3,1,Taxi,491
2019-03-07 07:11:33,2019-03-07 07:11:39,Murray Hill,Murray Hill,1.6,5.8,1,Taxi,492
2019-03-25 18:49:11,2019-03-25 18:55:59,Meatpacking/West Village West,TriBeCa/Civic Center,1.64,14.69,1,Taxi,493
2019-03-28 21:26:12,2019-03-28 21:33:37,Midtown North,Garment District,1.0,12.35,1,Taxi,494
2019-03-25 07:55:58,2019-03-25 08:03:50,Upper West Side North,Lincoln Square East,1.6,12.96,1,Taxi,495
2019-03-29 09:44:36,2019-03-29 10:07:13,Upper East Side South,Garment District,2.17,18.8,1,Taxi,496
2019-03-31 12:48:27,2019-03-31 12:58:46,Upper East Side South,Murray Hill,1.56,13.0,1,Taxi,497
2019-03-12 15:04:51,2019-03-12 15:12:22,Upper East Side South,Midtown East,0.6,9.3,1,Taxi,498
2019-03-24 21:50:26,2019-03-24 22:04:53,Yorkville West,Alphabet City,4.39,19.3,1,Taxi,499
2019-03-15 13:06:10,2019-03-15 13:30:26,Lenox Hill East,Fort Greene,8.4,36.95,1,Taxi,500
2019-03-05 22:01:02,2019-03-05 22:22:52,Penn Station/Madison Sq West,Long Island City/Hunters Point,4.36,26.16,1,Taxi,501
2019-03-21 16:33:14,2019-03-21 17:17:49,Midtown Center,LaGuardia Airport,9.65,53.82,1,Taxi,502
2019-03-27 18:07:50,2019-03-27 18:17:00,Financial District North,Two Bridges/Seward Park,2.7,16.3,1,Taxi,503
2019-03-30 21:45:17,2019-03-30 21:53:10,Upper West Side South,Morningside Heights,1.49,13.56,2,Taxi,504
2019-03-10 05:10:07,2019-03-10 05:25:27,Meatpacking/West Village West,Lincoln Square West,4.2,24.1,1,Taxi,505
2019-03-23 18:46:09,2019-03-23 18:59:54,Central Harlem,Lincoln Square East,2.8,16.8,1,Taxi,506
2019-03-05 09:12:13,2019-03-05 09:19:59,Murray Hill,Midtown South,0.5,10.8,1,Taxi,507
2019-03-24 17:06:49,2019-03-24 17:13:39,Times Sq/Theatre District,Penn Station/Madison Sq West,1.14,10.3,1,Taxi,508
2019-03-07 08:37:32,2019-03-07 09:02:32,Alphabet City,Melrose South,9.4,33.39,1,Taxi,509
2019-03-05 08:17:41,2019-03-05 08:29:39,Penn Station/Madison Sq West,Kips Bay,0.91,14.16,1,Taxi,510
2019-03-20 13:02:55,2019-03-20 13:42:30,Penn Station/Madison Sq West,Williamsburg (South Side),6.93,32.8,1,Taxi,511
2019-03-08 02:41:09,2019-03-08 03:03:39,Clinton East,Cobble Hill,6.5,27.3,1,Taxi,512
2019-03-02 00:50:31,2019-03-02 00:58:26,Kips Bay,West Village,1.5,13.0,1,Taxi,513
2019-03-19 15:20:37,2019-03-19 15:35:12,Lenox Hill West,Upper West Side North,2.0,16.28,1,Taxi,514
2019-03-07 06:16:11,2019-03-07 06:57:59,Rosedale,Clinton Hill,13.04,38.38,1,Taxi,515
2019-03-25 16:09:19,2019-03-25 16:49:22,LaGuardia Airport,Brooklyn Heights,10.88,45.36,1,Taxi,516
2019-03-08 08:25:31,2019-03-08 08:43:19,Murray Hill,Midtown East,1.7,16.3,2,Taxi,517
2019-03-30 00:55:22,2019-03-30 01:06:17,West Chelsea/Hudson Yards,Midtown South,1.96,12.8,2,Taxi,518
2019-03-08 02:37:35,2019-03-08 02:51:51,Midtown South,Central Harlem North,5.3,22.3,1,Taxi,519
2019-03-01 08:25:43,2019-03-01 08:36:41,Upper East Side North,Midtown North,0.83,13.56,1,Taxi,520
2019-03-17 01:02:45,2019-03-17 01:18:03,SoHo,West Chelsea/Hudson Yards,3.47,19.9,1,Taxi,521
2019-03-02 18:20:08,2019-03-02 18:44:15,Midtown Center,Financial District South,6.0,25.8,1,Taxi,522
2019-03-07 03:00:20,2019-03-07 03:08:01,Greenwich Village North,UN/Turtle Bay South,2.32,14.76,5,Taxi,523
2019-03-02 15:08:49,2019-03-02 15:30:27,Flatiron,Financial District South,3.5,22.56,2,Taxi,524
2019-03-26 17:03:17,2019-03-26 17:39:56,LaGuardia Airport,Garment District,8.84,42.06,1,Taxi,525
2019-03-28 14:07:41,2019-03-28 14:23:58,Clinton East,West Village,2.39,15.3,1,Taxi,526
2019-03-12 22:44:58,2019-03-12 22:56:40,Lincoln Square East,Midtown Center,2.0,13.8,2,Taxi,527
2019-03-06 17:26:44,2019-03-06 17:36:41,Lincoln Square West,Clinton East,1.3,15.95,1,Taxi,528
2019-03-11 12:25:53,2019-03-11 12:30:36,Flushing,East Flushing,0.89,6.3,1,Taxi,529
2019-03-10 12:16:52,2019-03-10 12:21:22,Lenox Hill West,Upper East Side North,1.5,11.75,0,Taxi,530
2019-03-16 15:37:34,2019-03-16 15:46:58,West Village,Gramercy,1.46,12.5,2,Taxi,531
2019-03-13 20:24:03,2019-03-13 20:33:10,Midtown South,East Village,1.42,14.16,1,Taxi,532
2019-03-20 21:25:03,2019-03-20 21:31:02,Times Sq/Theatre District,Midtown Center,1.0,11.27,1,Taxi,533
2019-03-14 13:28:00,2019-03-14 14:01:57,Upper West Side South,Penn Station/Madison Sq West,2.8,30.35,1,Taxi,534
2019-03-12 09:17:12,2019-03-12 09:55:52,Upper West Side North,Midtown South,4.4,30.3,1,Taxi,535
2019-03-24 14:49:15,2019-03-24 14:54:21,Bloomingdale,Upper West Side South,0.78,8.8,1,Taxi,536
2019-03-22 15:59:29,2019-03-22 16:10:08,Clinton East,Times Sq/Theatre District,0.52,13.56,1,Taxi,537
2019-03-26 05:48:16,2019-03-26 05:52:29,Old Astoria,Old Astoria,1.03,6.8,1,Taxi,538
2019-03-08 19:09:50,2019-03-08 19:46:58,LaGuardia Airport,Gramercy,9.28,50.67,1,Taxi,539
2019-03-29 14:36:11,2019-03-29 15:04:43,Midtown South,LaGuardia Airport,9.1,42.62,1,Taxi,540
2019-03-14 22:01:03,2019-03-14 22:24:33,Clinton East,Little Italy/NoLiTa,3.58,24.96,2,Taxi,541
2019-03-21 22:40:43,2019-03-21 22:57:27,Midtown East,West Village,3.2,20.76,1,Taxi,542
2019-03-31 22:51:53,2019-03-31 22:55:10,West Village,Meatpacking/West Village West,0.67,9.96,1,Taxi,543
2019-03-07 09:17:26,2019-03-07 09:22:40,Battery Park City,Hudson Sq,0.98,11.16,1,Taxi,544
2019-03-26 08:08:05,2019-03-26 08:25:58,Midtown East,UN/Turtle Bay South,0.7,17.75,2,Taxi,545
2019-03-27 11:03:43,2019-03-27 11:14:34,LaGuardia Airport,Forest Hills,4.2,15.8,1,Taxi,546
2019-03-23 11:35:30,2019-03-23 11:42:47,Murray Hill,Garment District,0.73,11.62,6,Taxi,547
2019-03-19 11:44:37,2019-03-19 12:05:39,Times Sq/Theatre District,West Village,2.52,17.8,1,Taxi,548
2019-03-26 21:03:37,2019-03-26 21:09:02,Upper East Side North,Yorkville West,0.87,9.3,6,Taxi,549
2019-03-16 22:51:55,2019-03-16 23:17:51,Lower East Side,East Chelsea,3.29,26.62,1,Taxi,550
2019-03-11 18:51:46,2019-03-11 18:57:50,Midtown Center,Midtown East,0.9,12.85,1,Taxi,551
2019-03-30 12:56:34,2019-03-30 13:12:56,Bloomingdale,Lenox Hill West,3.07,17.8,1,Taxi,552
2019-03-19 08:15:41,2019-03-19 08:21:25,Upper East Side North,Lenox Hill West,0.7,8.8,1,Taxi,553
2019-03-01 17:20:40,2019-03-01 17:24:49,Upper East Side North,Upper East Side South,0.83,11.16,1,Taxi,554
2019-03-31 17:36:23,2019-03-31 17:49:11,LaGuardia Airport,Sunnyside,4.7,19.56,1,Taxi,555
2019-03-27 07:52:03,2019-03-27 08:00:51,Murray Hill,Midtown Center,1.2,12.95,1,Taxi,556
2019-03-12 08:17:33,2019-03-12 08:38:51,Clinton East,Battery Park City,4.7,26.15,1,Taxi,557
2019-03-11 00:27:49,2019-03-11 00:31:23,UN/Turtle Bay South,Gramercy,1.5,11.75,1,Taxi,558
2019-03-27 18:12:36,2019-03-27 18:21:23,East Chelsea,Clinton West,2.16,15.96,1,Taxi,559
2019-03-06 14:58:30,2019-03-06 15:16:31,UN/Turtle Bay South,UN/Turtle Bay South,1.67,15.8,1,Taxi,560
2019-03-10 10:35:21,2019-03-10 10:39:16,Times Sq/Theatre District,Penn Station/Madison Sq West,0.8,8.3,2,Taxi,561
2019-03-19 06:33:59,2019-03-19 06:39:50,Upper West Side North,Upper East Side North,1.48,12.36,1,Taxi,562
2019-03-19 19:25:14,2019-03-19 19:29:10,Lenox Hill West,Lenox Hill West,0.61,10.56,2,Taxi,563
2019-03-16 01:44:25,2019-03-16 01:49:36,East Village,Kips Bay,1.42,12.36,1,Taxi,564
2019-03-06 13:33:16,2019-03-06 13:44:52,West Village,Penn Station/Madison Sq West,1.04,15.34,1,Taxi,565
2019-03-15 21:39:33,2019-03-15 21:57:41,Midtown Center,Penn Station/Madison Sq West,1.47,16.3,1,Taxi,566
2019-03-30 22:57:52,2019-03-30 23:15:38,Greenwich Village South,Murray Hill,2.32,18.74,5,Taxi,567
2019-03-29 21:49:47,2019-03-29 22:13:52,Penn Station/Madison Sq West,Lower East Side,2.9,20.3,2,Taxi,568
2019-03-11 16:55:42,2019-03-11 17:12:36,TriBeCa/Civic Center,Gramercy,1.9,18.95,1,Taxi,569
2019-03-02 20:58:52,2019-03-02 21:25:51,West Village,Upper East Side South,3.76,27.36,1,Taxi,570
2019-03-06 17:11:20,2019-03-06 17:42:51,TriBeCa/Civic Center,Murray Hill,4.2,28.3,1,Taxi,571
2019-03-15 16:13:07,2019-03-15 16:17:32,Upper East Side South,Upper East Side South,0.6,9.3,1,Taxi,572
2019-03-02 17:36:56,2019-03-02 17:46:32,Clinton East,East Chelsea,1.7,12.8,1,Taxi,573
2019-03-13 14:26:22,2019-03-13 14:33:08,Midtown Center,Union Sq,1.2,10.8,1,Taxi,574
2019-03-17 12:37:47,2019-03-17 12:59:21,Lincoln Square East,Sutton Place/Turtle Bay North,1.7,19.03,1,Taxi,575
2019-03-21 04:38:06,2019-03-21 04:56:45,Lower East Side,Manhattan Valley,7.4,32.75,2,Taxi,576
2019-03-09 23:05:14,2019-03-09 23:28:52,Lincoln Square East,Greenwich Village North,3.48,24.36,3,Taxi,577
2019-03-17 12:10:05,2019-03-17 12:15:28,Upper East Side South,Yorkville West,1.3,10.3,4,Taxi,578
2019-03-30 22:16:03,2019-03-30 22:43:13,West Village,Midtown North,2.47,25.56,5,Taxi,579
2019-03-07 17:56:52,2019-03-07 18:05:20,Upper East Side North,East Harlem South,1.2,12.8,1,Taxi,580
2019-03-01 14:04:20,2019-03-01 14:23:09,Midtown South,Central Park,1.73,15.8,2,Taxi,581
2019-03-23 13:53:38,2019-03-23 14:04:13,Midtown South,West Chelsea/Hudson Yards,0.88,14.12,5,Taxi,582
2019-03-15 09:40:55,2019-03-15 10:07:14,Flatiron,Midtown Center,1.86,20.55,1,Taxi,583
2019-03-22 20:20:21,2019-03-22 20:24:58,Gramercy,East Village,0.58,10.56,2,Taxi,584
2019-03-05 23:51:34,2019-03-06 00:07:55,Flatiron,Upper East Side North,4.2,22.55,1,Taxi,585
2019-03-13 08:33:37,2019-03-13 08:43:10,East Harlem South,Morningside Heights,2.1,12.35,4,Taxi,586
2019-03-14 08:56:08,2019-03-14 09:23:15,Garment District,Upper West Side North,3.2,21.8,1,Taxi,587
2019-03-10 06:37:49,2019-03-10 06:47:42,Yorkville West,Gramercy,4.44,21.36,6,Taxi,588
2019-03-19 06:28:02,2019-03-19 06:29:04,Lincoln Square West,Lincoln Square West,0.17,7.3,1,Taxi,589
2019-03-10 22:07:06,2019-03-10 22:28:45,Upper West Side North,Penn Station/Madison Sq West,3.5,21.8,1,Taxi,590
2019-03-14 16:22:50,2019-03-14 16:30:33,Central Park,Upper East Side North,1.04,12.3,2,Taxi,591
2019-03-31 23:43:45,2019-04-01 00:13:58,LaGuardia Airport,Williamsburg (South Side),12.25,40.8,5,Taxi,592
2019-03-06 08:12:52,2019-03-06 08:53:04,Battery Park City,Briarwood/Jamaica Hills,16.43,56.8,1,Taxi,593
2019-03-11 17:44:52,2019-03-11 18:03:27,Greenwich Village North,World Trade Center,2.15,20.76,1,Taxi,594
2019-03-27 02:08:11,2019-03-27 02:38:39,JFK Airport,East New York,9.6,32.3,1,Taxi,595
2019-03-22 19:25:34,2019-03-22 19:39:24,Midtown Center,Penn Station/Madison Sq West,1.45,14.8,1,Taxi,596
2019-03-14 07:19:23,2019-03-14 07:27:28,Penn Station/Madison Sq West,Greenwich Village South,1.8,13.55,1,Taxi,597
2019-03-04 07:43:37,2019-03-04 07:51:11,Upper East Side North,Midtown East,2.06,12.8,1,Taxi,598
2019-03-05 14:20:23,2019-03-05 14:28:41,Midtown North,Lincoln Square East,0.82,10.3,1,Taxi,599
2019-03-14 08:22:13,2019-03-14 08:32:32,Upper East Side South,Upper West Side North,1.86,12.8,1,Taxi,600
2019-03-24 16:19:28,2019-03-24 16:27:01,Midtown North,Lenox Hill West,0.9,10.8,3,Taxi,601
2019-03-05 19:50:23,2019-03-05 20:19:31,SoHo,Midwood,8.37,41.87,6,Taxi,602
2019-03-14 17:33:46,2019-03-14 17:41:50,Two Bridges/Seward Park,Gramercy,1.7,12.3,5,Taxi,603
2019-03-03 01:38:40,2019-03-03 01:49:06,SoHo,Kips Bay,2.07,15.96,5,Taxi,604
2019-03-24 12:24:59,2019-03-24 12:33:26,Lenox Hill East,Midtown East,1.72,14.69,1,Taxi,605
2019-03-04 17:17:37,2019-03-04 17:31:42,Midtown South,West Chelsea/Hudson Yards,1.96,14.8,1,Taxi,606
2019-03-19 15:04:40,2019-03-19 15:06:15,,Upper East Side South,0.4,8.15,1,Taxi,607
2019-03-29 14:08:30,2019-03-29 14:13:20,East Chelsea,West Chelsea/Hudson Yards,0.81,8.8,1,Taxi,608
2019-03-26 14:26:40,2019-03-26 14:41:31,East Village,Financial District South,1.85,13.8,2,Taxi,609
2019-03-07 15:10:00,2019-03-07 15:17:50,Greenwich Village South,Union Sq,1.18,13.39,1,Taxi,610
2019-03-22 08:18:14,2019-03-22 08:35:44,Midtown South,East Chelsea,1.41,17.76,5,Taxi,611
2019-03-29 23:02:19,2019-03-29 23:36:01,Lincoln Square West,Lower East Side,4.7,26.3,1,Taxi,612
2019-03-25 06:31:26,2019-03-25 07:09:53,Soundview/Castle Hill,Financial District South,14.74,48.09,1,Taxi,613
2019-03-23 16:19:54,2019-03-23 16:22:52,Hudson Sq,Meatpacking/West Village West,0.73,9.75,1,Taxi,614
2019-03-15 17:33:10,2019-03-15 17:48:38,Lincoln Square East,Midtown East,1.66,15.3,1,Taxi,615
2019-03-17 21:50:08,2019-03-17 21:53:53,West Village,Greenwich Village North,0.41,9.96,1,Taxi,616
2019-03-05 13:20:19,2019-03-05 13:36:33,Upper East Side North,Lenox Hill West,1.26,15.18,2,Taxi,617
2019-03-04 06:47:08,2019-03-04 06:49:48,Upper East Side South,Midtown East,0.82,9.36,2,Taxi,618
2019-03-12 19:21:21,2019-03-12 19:31:36,Bloomingdale,Central Harlem North,1.74,12.96,2,Taxi,619
2019-03-06 14:20:54,2019-03-06 14:26:36,Upper East Side South,Upper West Side North,1.23,11.16,2,Taxi,620
2019-03-09 13:19:46,2019-03-09 13:29:10,East Chelsea,Clinton East,0.96,10.8,5,Taxi,621
2019-03-15 17:16:35,2019-03-15 17:25:01,Upper East Side North,Upper East Side South,1.3,11.8,1,Taxi,622
2019-03-12 19:52:36,2019-03-12 19:52:55,,,0.0,166.0,3,Taxi,623
2019-03-25 00:02:17,2019-03-25 00:25:26,Greenwich Village South,Ridgewood,7.8,35.3,1,Taxi,624
2019-03-05 09:59:42,2019-03-05 10:00:34,Upper West Side South,Upper West Side South,0.31,7.3,1,Taxi,625
2019-03-08 00:09:21,2019-03-08 00:29:04,East Chelsea,Brooklyn Heights,4.3,23.8,1,Taxi,626
2019-03-14 13:31:59,2019-03-14 13:51:33,Midtown North,Midtown South,1.3,18.96,1,Taxi,627
2019-03-24 20:39:39,2019-03-24 20:59:44,East Chelsea,Sutton Place/Turtle Bay North,2.35,21.36,3,Taxi,628
2019-03-30 10:37:45,2019-03-30 10:53:13,Stuy Town/Peter Cooper Village,West Chelsea/Hudson Yards,2.11,19.24,1,Taxi,629
2019-03-21 21:45:26,2019-03-21 21:50:08,Greenwich Village North,Gramercy,0.76,10.12,1,Taxi,630
2019-03-14 15:30:55,2019-03-14 15:35:27,Upper West Side South,Lincoln Square West,0.5,10.79,5,Taxi,631
2019-03-24 12:11:02,2019-03-24 12:12:54,Lenox Hill West,Lenox Hill West,0.34,6.8,1,Taxi,632
2019-03-02 20:23:12,2019-03-02 20:27:35,West Village,Penn Station/Madison Sq West,0.9,9.3,1,Taxi,633
2019-03-01 14:47:03,2019-03-01 15:13:19,World Trade Center,Clinton East,3.88,21.8,1,Taxi,634
2019-03-08 00:06:51,2019-03-08 00:09:31,East Village,Greenwich Village North,0.48,7.8,2,Taxi,635
2019-03-28 11:30:22,2019-03-28 11:40:46,Midtown Center,Garment District,0.85,12.96,2,Taxi,636
2019-03-05 23:57:47,2019-03-06 00:06:22,East Village,Meatpacking/West Village West,1.52,13.56,1,Taxi,637
2019-03-12 22:15:40,2019-03-12 22:41:24,Greenwich Village South,Central Harlem,8.04,36.96,5,Taxi,638
2019-03-07 14:27:58,2019-03-07 14:45:49,Sunnyside,Elmhurst,2.25,13.8,1,Taxi,639
2019-03-19 18:22:18,2019-03-19 18:37:55,Penn Station/Madison Sq West,Lincoln Square East,1.9,16.8,1,Taxi,640
2019-03-04 10:03:02,2019-03-04 10:16:43,Midtown South,West Chelsea/Hudson Yards,1.8,16.56,1,Taxi,641
2019-03-04 13:07:08,2019-03-04 13:12:17,Upper East Side North,Upper East Side North,0.5,9.55,0,Taxi,642
2019-03-05 18:01:11,2019-03-05 18:10:47,Union Sq,Murray Hill,0.9,14.75,2,Taxi,643
2019-03-14 16:03:32,2019-03-14 16:24:29,Union Sq,Times Sq/Theatre District,1.6,21.36,1,Taxi,644
2019-03-30 21:50:51,2019-03-30 21:51:40,Lenox Hill East,Yorkville West,0.3,8.8,2,Taxi,645
2019-03-13 10:42:22,2019-03-13 10:53:20,Sutton Place/Turtle Bay North,Midtown East,0.82,13.56,2,Taxi,646
2019-03-19 19:21:13,2019-03-19 19:40:01,Gramercy,Yorkville West,5.21,28.56,1,Taxi,647
2019-03-05 14:04:59,2019-03-05 14:33:05,Lenox Hill East,Clinton East,2.78,21.3,1,Taxi,648
2019-03-21 11:47:07,2019-03-21 12:00:06,Midtown North,Lincoln Square East,0.88,15.38,2,Taxi,649
2019-03-19 20:04:44,2019-03-19 20:18:55,Midtown South,Lenox Hill West,2.27,17.76,1,Taxi,650
2019-03-11 14:47:42,2019-03-11 15:00:34,Midtown Center,Penn Station/Madison Sq West,0.9,13.3,1,Taxi,651
2019-03-16 17:54:48,2019-03-16 18:30:32,Penn Station/Madison Sq West,East Williamsburg,6.34,36.8,1,Taxi,652
2019-03-29 08:35:09,2019-03-29 08:44:52,Lincoln Square East,Midtown North,1.2,12.8,1,Taxi,653
2019-03-08 10:24:07,2019-03-08 10:31:43,West Village,West Chelsea/Hudson Yards,1.23,12.36,1,Taxi,654
2019-03-02 14:55:02,2019-03-02 15:02:32,Penn Station/Madison Sq West,Flatiron,0.43,11.16,1,Taxi,655
2019-03-20 13:17:32,2019-03-20 13:27:23,Gramercy,Greenwich Village South,1.18,11.3,1,Taxi,656
2019-03-20 17:22:19,2019-03-20 17:30:32,East Village,Greenwich Village North,0.86,12.96,1,Taxi,657
2019-03-10 11:53:53,2019-03-10 12:01:39,Times Sq/Theatre District,West Chelsea/Hudson Yards,1.0,9.8,0,Taxi,658
2019-03-23 03:12:19,2019-03-23 03:18:48,West Village,Little Italy/NoLiTa,1.5,12.42,1,Taxi,659
2019-03-15 18:55:51,2019-03-15 19:06:35,Garment District,Sutton Place/Turtle Bay North,2.26,16.56,1,Taxi,660
2019-03-13 12:15:18,2019-03-13 12:38:20,Flatiron,Upper East Side South,2.76,23.16,1,Taxi,661
2019-03-01 00:29:22,2019-03-01 00:32:48,Meatpacking/West Village West,Meatpacking/West Village West,0.74,9.3,4,Taxi,662
2019-03-30 14:13:42,2019-03-30 14:19:13,Midtown North,Times Sq/Theatre District,0.9,9.3,2,Taxi,663
2019-03-22 14:11:52,2019-03-22 14:19:38,Midtown South,Greenwich Village North,1.31,12.36,1,Taxi,664
2019-03-20 13:03:59,2019-03-20 13:20:35,West Chelsea/Hudson Yards,Lincoln Square East,2.3,18.95,1,Taxi,665
2019-03-03 10:03:38,2019-03-03 10:21:28,Central Harlem,Williamsbridge/Olinville,9.8,28.8,1,Taxi,666
2019-03-30 00:33:57,2019-03-30 00:41:35,Midtown North,Lenox Hill East,1.75,13.0,6,Taxi,667
2019-03-20 09:31:34,2019-03-20 09:48:38,Lincoln Square West,Upper East Side South,1.63,19.12,1,Taxi,668
2019-03-09 18:05:57,2019-03-09 18:40:11,Upper West Side North,Union Sq,4.63,31.56,1,Taxi,669
2019-03-29 08:50:54,2019-03-29 08:57:42,Greenwich Village North,Meatpacking/West Village West,1.09,10.5,1,Taxi,670
2019-03-08 04:50:48,2019-03-08 04:51:07,Lenox Hill East,Lenox Hill East,0.0,6.3,1,Taxi,671
2019-03-09 22:45:46,2019-03-09 22:46:50,,Lincoln Square East,0.4,7.3,1,Taxi,672
2019-03-06 15:07:11,2019-03-06 15:11:29,Yorkville East,Yorkville East,0.48,9.36,1,Taxi,673
2019-03-12 12:07:21,2019-03-12 12:18:08,Washington Heights South,University Heights/Morris Heights,1.8,10.3,1,Taxi,674
2019-03-04 23:39:52,2019-03-04 23:50:06,Greenwich Village North,Midtown North,2.68,17.16,1,Taxi,675
2019-03-01 02:51:42,2019-03-01 03:08:25,West Village,Upper West Side South,5.0,25.55,1,Taxi,676
2019-03-21 08:29:48,2019-03-21 09:15:43,Midtown South,JFK Airport,17.13,73.27,2,Taxi,677
2019-03-26 15:08:40,2019-03-26 15:14:03,Midtown North,Times Sq/Theatre District,0.55,8.8,4,Taxi,678
2019-03-05 20:54:43,2019-03-05 20:59:44,Murray Hill,Midtown East,1.1,12.05,1,Taxi,679
2019-03-06 17:29:47,2019-03-06 17:40:24,Union Sq,Murray Hill,0.91,14.76,1,Taxi,680
2019-03-27 20:21:50,2019-03-27 20:32:32,West Village,Financial District North,2.05,15.36,2,Taxi,681
2019-03-18 17:54:03,2019-03-18 17:57:34,West Village,SoHo,0.71,9.91,1,Taxi,682
2019-03-01 16:04:51,2019-03-01 16:16:59,Upper East Side North,East Harlem North,2.0,14.3,1,Taxi,683
2019-03-05 07:31:15,2019-03-05 07:47:00,Lenox Hill West,Financial District North,6.03,26.76,1,Taxi,684
2019-03-11 20:48:45,2019-03-11 21:04:19,East Village,Sutton Place/Turtle Bay North,3.15,20.16,1,Taxi,685
2019-03-06 23:07:04,2019-03-06 23:24:10,LaGuardia Airport,Central Harlem North,6.4,26.56,1,Taxi,686
2019-03-27 15:02:00,2019-03-27 15:31:19,East Chelsea,Manhattan Valley,3.79,23.3,1,Taxi,687
2019-03-08 23:36:13,2019-03-08 23:59:22,Upper West Side South,Union Sq,3.6,22.3,1,Taxi,688
2019-03-25 22:24:47,2019-03-25 22:29:33,Flatiron,Greenwich Village North,0.69,8.8,5,Taxi,689
2019-03-29 21:08:42,2019-03-29 21:11:13,Upper West Side South,Upper West Side South,0.26,10.14,2,Taxi,690
2019-03-31 14:38:27,2019-03-31 14:57:02,Penn Station/Madison Sq West,Financial District North,3.35,17.3,1,Taxi,691
2019-03-23 21:48:43,2019-03-23 21:58:19,Midtown South,Midtown Center,1.4,14.75,1,Taxi,692
2019-03-22 11:18:05,2019-03-22 11:27:31,Midtown South,Kips Bay,1.43,11.3,1,Taxi,693
2019-03-10 08:17:28,2019-03-10 08:21:07,Upper West Side North,Upper West Side South,0.64,7.8,1,Taxi,694
2019-03-13 11:12:11,2019-03-13 11:47:17,Brooklyn Heights,Midtown East,7.0,38.15,1,Taxi,695
2019-03-22 07:28:03,2019-03-22 07:34:01,Union Sq,Times Sq/Theatre District,1.5,12.74,0,Taxi,696
2019-03-06 11:44:21,2019-03-06 12:03:05,Upper East Side North,Midtown Center,1.94,20.38,1,Taxi,697
2019-03-06 14:49:20,2019-03-06 15:00:14,Upper East Side South,Midtown East,1.15,14.16,1,Taxi,698
2019-03-07 13:00:42,2019-03-07 13:26:42,Times Sq/Theatre District,Yorkville West,3.21,24.96,2,Taxi,699
2019-03-04 09:03:11,2019-03-04 09:20:35,Astoria,UN/Turtle Bay South,3.7,18.3,1,Taxi,700
2019-03-12 22:10:39,2019-03-12 22:19:06,Clinton East,Penn Station/Madison Sq West,1.33,13.56,1,Taxi,701
2019-03-14 19:27:03,2019-03-14 19:30:46,Upper East Side South,Upper East Side North,1.0,11.15,1,Taxi,702
2019-03-06 22:02:51,2019-03-06 22:12:40,Clinton East,Upper West Side North,1.6,15.35,1,Taxi,703
2019-03-01 06:44:12,2019-03-01 06:51:23,Sunnyside,Astoria,1.26,7.3,1,Taxi,704
2019-03-02 16:26:56,2019-03-02 16:31:23,Union Sq,Murray Hill,0.6,9.95,1,Taxi,705
2019-03-17 21:21:53,2019-03-17 21:27:29,Lincoln Square East,Lincoln Square East,0.76,11.76,1,Taxi,706
2019-03-07 23:42:53,2019-03-07 23:53:04,Lincoln Square East,Upper East Side South,1.81,12.8,1,Taxi,707
